Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body
ZQYAT9UB,book,2004,"Anderson, Terry; Elloumi, Faithi",Theory and Practice of Online Learning,,,,,https://www.aupress.ca/app/uploads/120146_99Z_Anderson_2008-Theory_and_Practice_of_Online_Learning.pdf,,01/01/2004,09/11/2020 14:53,28/12/2020 21:50,,,,,,,,,,,,,,,,,,,,ResearchGate,,,<p>A detailed and highly useful exploration of models for online learning (particularly in the education context)</p>,/Users/markberthelemy/Zotero/storage/JUUST5P2/Anderson and Elloumi - 2004 - Theory and Practice of Online Learning.pdf; ,https://www.researchgate.net/publication/44833801_Theory_and_Practice_of_Online_Learning,Education; Learning design,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QYXSX573,blogPost,2020,"Berthelemy, Mark",Is your elearning broken?,LinkedIn,,,,https://www.linkedin.com/pulse/your-elearning-broken-mark-berthelemy/,An article exploring why elearning built as SCORM packages may not be the right model for a modern audience.,10/03/2020,10/11/2020 15:03,28/12/2020 21:47,10/11/2020 15:03,,,,,,,,,,,,,,,,Article,,,,,,,/Users/markberthelemy/Zotero/storage/S89R7PTI/your-elearning-broken-mark-berthelemy.html,,Learning design,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3KB8YEHJ,book,1999,"Wenger, Etienne","Communities of Practice: Learning, Meaning, and Identity",,978-0-521-66363-2,,,https://www.wenger-trayner.com/introduction-to-communities-of-practice/,Presents a broad conceptual framework for thinking about learning as a process of social participation.,28/09/1999,13/11/2020 12:30,28/12/2020 17:54,,,340,,,,,Communities of Practice,,,,,Cambridge University Press,,en,,,,,Google Books,,Google-Books-ID: heBZpgYUKdAC,,,https://books.google.fr/books?id=heBZpgYUKdAC,Communities of practice; Learning design,Psychology / Cognitive Psychology & Cognition; Psychology / General; Psychology / Social Psychology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9DIC37H3,webpage,2010,"Armstrong, Patricia",Bloom's Taxonomy,Vanderbilt University,,,,https://cft.vanderbilt.edu/guides-sub-pages/blooms-taxonomy/,,10/06/2010,13/11/2020 14:11,28/12/2020 20:34,13/11/2020 14:11,,,,,,,,,,,,,,en,,,,,,,,<p>A taxonomy of verbs to help write effective learning objectives</p>,/Users/markberthelemy/Zotero/storage/7VRHVXAE/blooms-taxonomy.html,,Learning design,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QH9NXIPT,webpage,,"Moore, Cathy",Action mapping headquarters - Training design - Cathy Moore,https://blog.cathy-moore.com/,,,,https://blog.cathy-moore.com/action-mapping/,,,13/11/2020 14:13,28/12/2020 20:37,13/11/2020 14:13,,,,,,,,,,,,,,en_US,,,,,,,,<p>A highly effective model for creating learning materials that make a difference.</p>,/Users/markberthelemy/Zotero/storage/DRQ52M6P/action-mapping.html,,Learning design,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5A3663LL,webpage,,"Norman, Dan; Nielsen, Jakob",The Definition of User Experience (UX),Nielsen Norman Group,,,,https://www.nngroup.com/articles/definition-user-experience/,"""User experience"" (UX) encompasses all aspects of the end-user's interaction with the company, its services, and its products.",,09/12/2020 21:28,28/12/2020 17:55,09/12/2020 21:28,,,,,,,,,,,,,,en,,,,,,,,,/Users/markberthelemy/Zotero/storage/EPRL9KE7/definition-user-experience.html,,User experience,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RRIJF4J7,document,2005,"Hagel, John; Seely Brown, John",From Push to Pull - Emerging Models for Mobilizing Resources,,,,,https://www.johnhagel.com/paper_pushpull.pdf,,2005,27/12/2020 20:26,28/12/2020 17:55,,,,,,,,,,,,,,,en,,,,,Zotero,,,<p>Working paper which looks at new models for work and learning</p>,/Users/markberthelemy/Zotero/storage/G5WWCNDN/Hagel and Brown - 2005 - John Hagel John Seely Brown.pdf,,Agile; Lean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANAMEU63,webpage,,,W3Schools Online Web Tutorials,,,,,https://www.w3schools.com/,,,28/12/2020 17:47,28/12/2020 17:56,28/12/2020 17:47,,,,,,,,,,,,,,,,,,,,,,"<p>An essential resource for learning any web coding language, including HTML, CSS and Javascript</p>",/Users/markberthelemy/Zotero/storage/PSR6HTAX/www.w3schools.com.html,,Coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIR3FJA9,webpage,,"Pichler, Roman",The Product Vision Board,,,,,https://www.romanpichler.com/tools/product-vision-board/,,,28/12/2020 17:48,28/12/2020 21:49,28/12/2020 17:48,,,,,,,,,,,,,,,,,,,,,,<p>A useful method to help quickly test your product ideas</p>,/Users/markberthelemy/Zotero/storage/6K3NUDLV/product-vision-board.html,,Product management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8CWZ7JXA,webpage,,,UI-Patterns.com,,,,,http://ui-patterns.com/,,,28/12/2020 17:50,28/12/2020 17:56,28/12/2020 17:50,,,,,,,,,,,,,,,,,,,,,,<p>Full of ideas with commonly used interface elements</p>,/Users/markberthelemy/Zotero/storage/XN27ZJ32/ui-patterns.com.html,,User experience,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
